id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
2322316,Home in Hillarys · ★4.67 · 1 bedroom · 2 beds · 2 shared baths,5745887,Carmen,JOONDALUP,-31.80235,115.75047,Private room in home,Private room,3,,2.0,1,365,12,4.67,0.13
1125165,Place to stay in Beaconsfield · ★4.73 · 1 bedroom · 1 bed · 2.5 baths,6172414,Lyn,FREMANTLE,-32.06577,115.7584,Private room,Private room,2,,1.0,2,313,71,4.73,0.6
1125272,Bed and breakfast in Perth · ★4.59 · 1 bedroom · 1 bed · 1 bath,6172414,Lyn,FREMANTLE,-32.06257,115.75798,Private room in bed and breakfast,Private room,2,,1.0,2,280,49,4.59,0.42
274406,Home in Fremantle · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,FREMANTLE,-32.06245,115.74915,Private room in home,Private room,1,,1.0,4,0,207,4.89,1.56
2329248,Rental unit in Crawley · ★4.91 · 2 bedrooms · 2 beds · 1 bath,10360823,Kieran,SUBIACO,-31.98443,115.81526,Entire rental unit,Entire home/apt,3,2.0,2.0,60,48,14,4.91,0.13
284891,Home in Fremantle · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,FREMANTLE,-32.06055,115.74953,Private room in home,Private room,1,,1.0,2,0,302,4.91,2.17
284909,Home in Fremantle · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,1430540,Trish,FREMANTLE,-32.05854,115.75032,Private room in home,Private room,1,,1.0,3,0,312,4.94,2.3
300640,Home in Beckenham · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,1548293,Yan,GOSNELLS,-32.03238,115.958,Private room in home,Private room,1,,1.0,7,364,6,5.0,0.05
2333853,Home in Benjinup · ★4.98 · 4 bedrooms · 5 beds · 2 baths,11922019,Jennifer,BOYUP BROOK,-33.86623,116.30837,Entire home,Entire home/apt,7,4.0,5.0,3,123,47,4.98,0.42
1134293,Home in Bassendean · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths,893264,Penny,BASSENDEAN,-31.89648,115.95156,Private room in home,Private room,2,,1.0,2,314,45,4.79,0.37
304886,Home in South Fremantle · ★4.91 · 1 bedroom · 4 beds · 1.5 baths,1576058,Judy,FREMANTLE,-32.06388,115.75145,Entire home,Entire home/apt,2,1.0,4.0,4,233,23,4.91,0.51
1201497,Guesthouse in Redcliffe · ★4.79 · 1 bedroom · 1 bed · 1 bath,3377184,Te-NeeleAndKane,BELMONT,-31.93508,115.94283,Entire guesthouse,Entire home/apt,2,1.0,1.0,1,170,938,4.79,7.66
2341422,Condo in Nedlands · ★4.68 · 2 bedrooms · 2 beds · 1 bath,11959038,Rose,SUBIACO,-31.97325,115.81531,Entire condo,Entire home/apt,3,2.0,2.0,9,0,22,4.68,0.23
305886,Home in Beckenham · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,1548293,Yan,GOSNELLS,-32.03238,115.958,Private room in home,Private room,1,,1.0,7,256,12,4.4,0.09
315801,Home in Ardross · ★4.86 · 1 bedroom · 0 shared baths,1621815,Phoebe,MELVILLE,-32.02918,115.83177,Private room in home,Private room,1,,,3,287,30,4.86,0.25
2367392,Guest suite in Como · ★4.85 · 1 bedroom · 1 bed · 1 private bath,3510137,Kate,SOUTH PERTH,-31.99582,115.8735,Private room in guest suite,Private room,2,,1.0,2,88,21,4.85,0.18
1206699,Home in Tapping · ★4.70 · 1 bedroom · 1 bed · 1 private bath,6592108,Gwen,WANNEROO,-31.72167,115.78714,Private room in home,Private room,2,,1.0,1,257,10,4.7,0.09
324068,Home in Leederville · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,1658156,Petar,VINCENT,-31.92666,115.84529,Entire home,Entire home/apt,6,3.0,3.0,5,20,4,5.0,0.41
1233656,Cottage in Balingup · ★4.67 · 1 bedroom · 3 beds · 1 bath,6728202,Al,DONNYBROOK-BALINGUP,-33.75909,115.98027,Entire cottage,Entire home/apt,6,1.0,3.0,2,307,93,4.67,1.99
2369238,Rental unit in Cable Beach · ★4.76 · 3 bedrooms · 5 beds · 1 bath,7040169,Prue,BROOME,-17.9349,122.21382,Entire rental unit,Entire home/apt,6,3.0,5.0,7,310,71,4.76,0.64
2374747,Guest suite in Halls Head · ★4.85 · 3 bedrooms · 3 beds · 2 baths,225805,Gill,MANDURAH,-32.55765,115.67468,Entire guest suite,Entire home/apt,6,3.0,3.0,2,84,129,4.85,1.21
348872,Rental unit in Albany · ★4.86 · 1 bedroom · 1 bed · 1 bath,1767860,Jenni,ALBANY,-35.02808748543544,117.88728588114829,Entire rental unit,Entire home/apt,2,1.0,1.0,1,69,540,4.86,3.91
2396697,Rental unit in Perth · ★4.79 · 2 bedrooms · 5 beds · 1.5 baths,10629754,Gavin & Jo,PERTH,-31.95633,115.84615,Entire rental unit,Entire home/apt,6,2.0,5.0,1,142,81,4.79,0.73
2400663,Rental unit in Perth · ★4.80 · 2 bedrooms · 4 beds · 2 baths,10629754,Gavin & Jo,PERTH,-31.95579,115.84866,Entire rental unit,Entire home/apt,6,2.0,4.0,1,102,96,4.8,0.86
1234975,Home in Subiaco · ★4.30 · 3 bedrooms · 3 beds · 1 bath,6733465,Valerie,SUBIACO,-31.95565,115.81962,Entire home,Entire home/apt,6,3.0,3.0,3,264,10,4.3,1.82
1260996,Home in South Yunderup · ★4.89 · 2 bedrooms · 2 beds · 1 private bath,6868475,Robyn,MURRAY,-32.58284,115.79273,Private room in home,Private room,4,,2.0,1,205,213,4.89,1.77
363087,Townhouse in Middleton Beach · ★4.83 · 3 bedrooms · 4 beds · 1 bath,1834803,Barbara,ALBANY,-35.02647,117.91196,Entire townhouse,Entire home/apt,6,3.0,4.0,2,293,162,4.83,2.08
2401307,Guesthouse in Cottesloe · ★4.87 · 1 bedroom · 2 beds · 1 bath,2580553,Susan,COTTESLOE,-32.00202,115.75489,Entire guesthouse,Entire home/apt,3,1.0,2.0,2,284,113,4.87,1.0
2401511,Home in Fremantle · ★4.65 · 3 bedrooms · 4 beds · 1 bath,12273703,Alya,FREMANTLE,-32.05868,115.75031,Entire home,Entire home/apt,6,3.0,4.0,3,0,68,4.65,0.6
373860,Home in Beckenham · ★4.86 · 1 bedroom · 1 bed · 2 shared baths,1548293,Yan,GOSNELLS,-32.03238,115.958,Private room in home,Private room,1,,1.0,7,352,7,4.86,0.06
1276806,Guesthouse in Perth · ★4.84 · 1 bedroom · 2 beds · 1 bath,6949912,Alison,STIRLING,-31.87035,115.75564,Entire guesthouse,Entire home/apt,2,1.0,2.0,3,77,84,4.84,0.69
390748,Home in Wilson · ★4.73 · 1 bedroom · 1 bed · 1.5 baths,1937593,Chantelle & Lance,CANNING,-32.01531,115.90725,Entire home,Entire home/apt,2,1.0,1.0,2,364,38,4.73,0.28
